"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,57064,Active,727,36,3,2,3,16,0,0,0,188,975
Kings,Kings,57064,Inactive,76,1,0,1,3,2,0,0,0,22,105
Kings,Kings,57064,Total,803,37,3,3,6,18,0,0,0,210,"1,080"
Kings,Kings,57065,Active,"1,022",37,0,10,15,33,0,0,0,248,"1,365"
Kings,Kings,57065,Inactive,149,8,0,0,2,11,0,0,0,32,202
Kings,Kings,57065,Total,"1,171",45,0,10,17,44,0,0,0,280,"1,567"
Kings,Kings,57066,Active,943,30,0,8,8,21,0,0,0,193,"1,203"
Kings,Kings,57066,Inactive,109,3,0,0,2,2,0,0,0,27,143
Kings,Kings,57066,Total,"1,052",33,0,8,10,23,0,0,0,220,"1,346"
Kings,Kings,57067,Active,769,20,0,4,6,16,0,0,0,144,959
Kings,Kings,57067,Inactive,74,2,0,2,0,6,0,0,0,25,109
Kings,Kings,57067,Total,843,22,0,6,6,22,0,0,0,169,"1,068"
Kings,Kings,57068,Active,854,33,1,5,5,25,0,0,1,145,"1,069"
Kings,Kings,57068,Inactive,110,4,0,0,0,3,0,0,0,23,140
Kings,Kings,57068,Total,964,37,1,5,5,28,0,0,1,168,"1,209"
,,,,,,,,,,,,,,
Page 198 of 241,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,57069,Active,904,27,1,8,7,35,1,0,0,196,"1,179"
Kings,Kings,57069,Inactive,91,4,0,0,2,5,0,0,0,27,129
Kings,Kings,57069,Total,995,31,1,8,9,40,1,0,0,223,"1,308"
Kings,Kings,57070,Active,847,26,0,4,7,23,0,0,0,165,"1,072"
Kings,Kings,57070,Inactive,86,1,0,2,0,3,0,0,0,21,113
Kings,Kings,57070,Total,933,27,0,6,7,26,0,0,0,186,"1,185"
Kings,Kings,57071,Active,587,29,1,4,5,14,0,0,2,118,760
Kings,Kings,57071,Inactive,72,1,0,0,0,5,0,0,0,16,94
Kings,Kings,57071,Total,659,30,1,4,5,19,0,0,2,134,854
Kings,Kings,57072,Active,912,28,1,5,7,32,0,0,0,143,"1,128"
