"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Richmond  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Richmond,Richmond,63048,Total,284,500,21,0,0,37,0,0,1,209,"1,052"
,,,,,,,,,,,,,,
Page 27 of 39,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Richmond  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Richmond,Richmond,63049,Active,377,444,17,1,3,26,0,1,1,240,"1,110"
Richmond,Richmond,63049,Inactive,23,19,2,0,0,2,0,0,0,11,57
Richmond,Richmond,63049,Total,400,463,19,1,3,28,0,1,1,251,"1,167"
Richmond,Richmond,63050,Active,481,318,18,1,2,35,0,0,0,317,"1,172"
Richmond,Richmond,63050,Inactive,31,16,0,0,0,2,0,0,0,16,65
Richmond,Richmond,63050,Total,512,334,18,1,2,37,0,0,0,333,"1,237"
Richmond,Richmond,63051,Active,329,315,11,1,0,21,0,0,0,179,856
Richmond,Richmond,63051,Inactive,16,18,1,0,0,0,0,0,0,7,42
Richmond,Richmond,63051,Total,345,333,12,1,0,21,0,0,0,186,898
Richmond,Richmond,63052,Active,257,264,6,0,1,25,0,0,0,189,742
Richmond,Richmond,63052,Inactive,7,6,1,0,0,0,0,0,0,7,21
Richmond,Richmond,63052,Total,264,270,7,0,1,25,0,0,0,196,763
Richmond,Richmond,63053,Active,432,218,5,0,0,37,0,0,0,268,960
Richmond,Richmond,63053,Inactive,25,17,1,0,0,5,0,0,0,15,63
Richmond,Richmond,63053,Total,457,235,6,0,0,42,0,0,0,283,"1,023"
Richmond,Richmond,63054,Active,587,284,14,2,5,37,0,0,0,224,"1,153"
Richmond,Richmond,63054,Inactive,55,26,1,0,0,3,0,0,0,21,106
Richmond,Richmond,63054,Total,642,310,15,2,5,40,0,0,0,245,"1,259"
Richmond,Richmond,63055,Active,444,256,12,1,2,48,0,0,0,225,988
Richmond,Richmond,63055,Inactive,21,12,2,1,0,0,0,0,0,21,57
Richmond,Richmond,63055,Total,465,268,14,2,2,48,0,0,0,246,"1,045"
,,,,,,,,,,,,,,
Page 28 of 39,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
