"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
New York,New York,75082,Total,893,87,1,3,2,38,0,0,0,260,"1,284"
New York,New York,75083,Active,659,98,2,1,1,24,0,0,0,155,940
New York,New York,75083,Inactive,75,18,0,0,0,8,0,0,1,15,117
New York,New York,75083,Total,734,116,2,1,1,32,0,0,1,170,"1,057"
New York,New York,75084,Active,761,124,2,2,1,38,0,0,1,274,"1,203"
New York,New York,75084,Inactive,157,34,1,0,0,18,0,0,0,52,262
New York,New York,75084,Total,918,158,3,2,1,56,0,0,1,326,"1,465"
,,,,,,,,,,,,,,
Page 146 of 162,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
New York,New York,75085,Active,520,79,0,0,2,24,0,0,1,159,785
New York,New York,75085,Inactive,74,22,0,0,0,2,0,0,1,22,121
New York,New York,75085,Total,594,101,0,0,2,26,0,0,2,181,906
New York,New York,75086,Active,88,62,0,0,0,18,0,0,0,54,222
New York,New York,75086,Inactive,4,3,0,0,0,1,0,0,0,3,11
New York,New York,75086,Total,92,65,0,0,0,19,0,0,0,57,233
New York,New York,75087,Active,554,164,2,2,0,32,0,0,1,228,983
New York,New York,75087,Inactive,90,40,0,1,0,5,0,0,0,51,187
New York,New York,75087,Total,644,204,2,3,0,37,0,0,1,279,"1,170"
New York,New York,75088,Active,452,173,3,3,0,39,0,0,1,220,891
New York,New York,75088,Inactive,44,18,0,0,0,4,0,0,0,32,98
New York,New York,75088,Total,496,191,3,3,0,43,0,0,1,252,989
New York,New York,75089,Active,187,83,1,1,0,19,0,0,1,104,396
New York,New York,75089,Inactive,27,9,0,0,0,2,0,0,0,18,56
New York,New York,75089,Total,214,92,1,1,0,21,0,0,1,122,452
New York,New York,75090,Active,260,93,1,1,0,23,0,0,0,128,506
New York,New York,75090,Inactive,35,15,0,0,0,5,0,0,0,23,78
New York,New York,75090,Total,295,108,1,1,0,28,0,0,0,151,584
New York,New York,75091,Active,392,219,2,3,0,41,0,0,3,229,889
New York,New York,75091,Inactive,71,39,0,0,0,12,0,0,0,32,154
New York,New York,75091,Total,463,258,2,3,0,53,0,0,3,261,"1,043"
,,,,,,,,,,,,,,
Page 147 of 162,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
New York,New York,75092,Active,408,154,1,1,0,42,0,0,1,183,790
New York,New York,75092,Inactive,62,24,0,0,0,4,0,0,0,35,125
New York,New York,75092,Total,470,178,1,1,0,46,0,0,1,218,915
New York,New York,75093,Active,4,0,0,0,0,0,0,0,0,3,7
New York,New York,75093,Inactive,2,0,0,0,0,0,0,0,0,3,5
New York,New York,75093,Total,6,0,0,0,0,0,0,0,0,6,12
New York,New York,75094,Active,338,127,0,0,0,23,0,0,0,148,636
New York,New York,75094,Inactive,87,40,1,0,0,15,0,0,0,46,189
New York,New York,75094,Total,425,167,1,0,0,38,0,0,0,194,825
New York,New York,75095,Active,429,103,0,1,1,31,0,0,0,143,708
New York,New York,75095,Inactive,92,38,1,0,1,4,0,0,0,43,179
New York,New York,75095,Total,521,141,1,1,2,35,0,0,0,186,887
New York,New York,75096,Active,370,95,0,2,1,27,0,0,0,153,648
New York,New York,75096,Inactive,106,31,0,0,0,13,0,0,1,42,193
New York,New York,75096,Total,476,126,0,2,1,40,0,0,1,195,841
New York,New York,75097,Active,585,148,0,2,0,19,0,0,0,227,981
New York,New York,75097,Inactive,98,39,0,0,0,4,0,0,0,38,179
New York,New York,75097,Total,683,187,0,2,0,23,0,0,0,265,"1,160"
New York,New York,75098,Active,404,87,1,3,0,25,0,0,0,161,681
New York,New York,75098,Inactive,59,26,1,0,1,7,0,0,0,34,128
New York,New York,75098,Total,463,113,2,3,1,32,0,0,0,195,809
