"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Queens  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Queens  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Queens,Queens,32066,Active,838,16,1,1,2,18,0,0,0,81,957
Queens,Queens,32066,Inactive,56,0,0,0,1,0,0,0,0,9,66
Queens,Queens,32066,Total,894,16,1,1,3,18,0,0,0,90,"1,023"
Queens,Queens,32067,Active,751,14,2,0,1,16,0,0,0,73,857
Queens,Queens,32067,Inactive,42,1,0,0,0,0,0,0,0,2,45
Queens,Queens,32067,Total,793,15,2,0,1,16,0,0,0,75,902
Queens,Queens,32068,Active,772,15,1,0,0,14,0,0,0,80,882
Queens,Queens,32068,Inactive,62,1,0,0,0,2,0,0,0,7,72
Queens,Queens,32068,Total,834,16,1,0,0,16,0,0,0,87,954
Queens,Queens,32069,Active,766,16,0,0,3,18,0,0,1,82,886
Queens,Queens,32069,Inactive,49,3,1,0,0,1,0,0,0,5,59
Queens,Queens,32069,Total,815,19,1,0,3,19,0,0,1,87,945
Queens,Queens,32070,Active,796,18,1,0,0,16,0,0,0,67,898
Queens,Queens,32070,Inactive,59,2,0,0,0,1,0,0,0,4,66
Queens,Queens,32070,Total,855,20,1,0,0,17,0,0,0,71,964
Queens,Queens,32071,Active,762,17,2,0,2,8,0,0,0,67,858
Queens,Queens,32071,Inactive,41,4,0,0,0,3,0,0,0,7,55
Queens,Queens,32071,Total,803,21,2,0,2,11,0,0,0,74,913
Queens,Queens,32072,Active,949,25,1,2,3,11,1,0,0,144,"1,136"
Queens,Queens,32072,Inactive,40,3,0,0,0,1,0,0,0,8,52
Queens,Queens,32072,Total,989,28,1,2,3,12,1,0,0,152,"1,188"
,,,,,,,,,,,,,,
Page 103 of 175,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Queens  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Queens,Queens,32073,Active,683,27,1,1,1,22,0,0,0,83,818
Queens,Queens,32073,Inactive,33,1,0,0,0,1,0,0,0,6,41
Queens,Queens,32073,Total,716,28,1,1,1,23,0,0,0,89,859
Queens,Queens,32074,Active,508,15,2,0,0,11,0,0,0,57,593
Queens,Queens,32074,Inactive,20,0,0,0,0,1,0,0,0,2,23
Queens,Queens,32074,Total,528,15,2,0,0,12,0,0,0,59,616
Queens,Queens,32075,Active,582,10,2,0,5,18,0,0,0,54,671
Queens,Queens,32075,Inactive,31,1,0,0,0,1,0,0,0,3,36
Queens,Queens,32075,Total,613,11,2,0,5,19,0,0,0,57,707
Queens,Queens,32076,Active,3,0,0,0,0,0,0,0,0,0,3
