"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens 31061,,Total,955,38,0,8,25,1,0,93,"1,120"
Queens,Queens 31062,,Active,735,36,5,9,21,1,0,114,921
Queens,Queens 31062,,Inactive,38,2,1,0,0,0,0,10,51
Queens,Queens 31062,,Total,773,38,6,9,21,1,0,124,972
Queens,Queens,31063,Active,973,32,1,8,12,1,0,71,"1,098"
Queens,Queens,31063,Inactive,63,1,1,3,4,0,0,12,84
Queens,Queens,31063,Total,"1,036",33,2,11,16,1,0,83,"1,182"
Queens,Queens,31064,Active,974,24,0,5,33,0,0,108,"1,144"
Queens,Queens,31064,Inactive,220,8,1,1,7,0,0,35,272
Queens,Queens,31064,Total,"1,194",32,1,6,40,0,0,143,"1,416"
Queens,Queens,32001,Active,730,42,1,1,15,0,0,132,921
Queens,Queens,32001,Inactive,90,7,0,2,3,0,0,25,127
Queens,Queens,32001,Total,820,49,1,3,18,0,0,157,"1,048"
Queens,Queens,32002,Active,35,3,0,0,3,0,0,8,49
Queens,Queens,32002,Inactive,2,0,0,0,0,0,0,0,2
Queens,Queens,32002,Total,37,3,0,0,3,0,0,8,51
Queens,Queens,32003,Active,711,38,4,3,17,1,0,148,922
Queens,Queens,32003,Inactive,75,5,0,0,7,0,0,14,101
Queens,Queens,32003,Total,786,43,4,3,24,1,0,162,"1,023"
Queens,Queens,32004,Active,886,69,2,3,33,2,0,214,"1,209"
Queens,Queens,32004,Inactive,69,9,0,0,1,0,0,16,95
,,,,,,,,,,,,
Page 92 of 172,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens 32004,,Total,955,78,2,3,34,2,0,230,"1,304"
Queens,Queens 32005,,Active,886,71,5,6,15,0,1,186,"1,170"
Queens,Queens 32005,,Inactive,103,10,1,1,4,0,0,15,134
