"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Bronx,Bronx,87049,Inactive,148,9,0,0,2,0,0,31,190
Bronx,Bronx,87049,Total,817,44,4,4,28,4,0,144,"1,045"
Bronx,Bronx,87050,Active,768,32,3,4,16,0,0,105,928
Bronx,Bronx,87050,Inactive,143,7,1,0,6,0,0,16,173
Bronx,Bronx,87050,Total,911,39,4,4,22,0,0,121,"1,101"
Bronx,Bronx,87051,Active,726,32,0,4,19,0,0,91,872
Bronx,Bronx,87051,Inactive,126,10,3,1,2,0,0,10,152
Bronx,Bronx,87051,Total,852,42,3,5,21,0,0,101,"1,024"
,,,,,,,,,,,,
Page 121 of 127,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Bronx,Bronx,87052,Active,713,27,2,4,16,0,0,86,848
Bronx,Bronx,87052,Inactive,149,8,0,1,5,0,0,20,183
Bronx,Bronx,87052,Total,862,35,2,5,21,0,0,106,"1,031"
Bronx,Bronx,87053,Active,891,56,2,5,24,0,0,141,"1,119"
Bronx,Bronx,87053,Inactive,149,4,1,0,5,0,0,18,177
Bronx,Bronx,87053,Total,"1,040",60,3,5,29,0,0,159,"1,296"
Bronx,Bronx,87054,Active,883,58,3,4,26,0,0,143,"1,117"
Bronx,Bronx,87054,Inactive,177,11,1,0,4,0,0,17,210
Bronx,Bronx,87054,Total,"1,060",69,4,4,30,0,0,160,"1,327"
Bronx,Bronx,87055,Active,649,36,4,0,12,1,0,90,792
Bronx,Bronx,87055,Inactive,106,6,0,0,7,1,0,15,135
Bronx,Bronx,87055,Total,755,42,4,0,19,2,0,105,927
Bronx,Bronx,87056,Active,717,33,1,2,20,1,0,109,883
Bronx,Bronx,87056,Inactive,141,5,1,0,3,0,0,21,171
Bronx,Bronx,87056,Total,858,38,2,2,23,1,0,130,"1,054"
Bronx,Bronx,87057,Active,781,42,0,7,24,0,1,123,978
Bronx,Bronx,87057,Inactive,115,16,1,0,7,0,0,21,160
Bronx,Bronx,87057,Total,896,58,1,7,31,0,1,144,"1,138"
Bronx,Bronx,87058,Active,475,22,3,6,12,0,0,74,592
Bronx,Bronx,87058,Inactive,62,2,2,1,3,0,0,11,81
Bronx,Bronx,87058,Total,537,24,5,7,15,0,0,85,673
,,,,,,,,,,,,
Page 122 of 127,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Bronx,Bronx,87059,Active,850,37,0,1,27,0,1,118,"1,034"
Bronx,Bronx,87059,Inactive,114,10,0,0,5,0,0,13,142
Bronx,Bronx,87059,Total,964,47,0,1,32,0,1,131,"1,176"
Bronx,Bronx,87060,Active,623,20,2,5,12,1,0,57,720
Bronx,Bronx,87060,Inactive,81,7,0,0,0,0,0,17,105
Bronx,Bronx,87060,Total,704,27,2,5,12,1,0,74,825
Bronx,Bronx,87061,Active,713,15,2,2,13,0,0,96,841
Bronx,Bronx,87061,Inactive,100,12,0,0,2,0,0,24,138
Bronx,Bronx,87061,Total,813,27,2,2,15,0,0,120,979
Bronx,Bronx,87062,Active,888,34,4,4,37,0,0,116,"1,083"
Bronx,Bronx,87062,Inactive,151,8,1,0,7,0,0,23,190
Bronx,Bronx,87062,Total,"1,039",42,5,4,44,0,0,139,"1,273"
Bronx,Bronx,87063,Active,62,6,1,1,1,0,0,18,89
Bronx,Bronx,87063,Inactive,5,1,1,0,0,0,0,1,8
Bronx,Bronx,87063,Total,67,7,2,1,1,0,0,19,97
Bronx,Bronx,87064,Active,8,0,0,0,0,0,0,0,8
Bronx,Bronx,87064,Total,8,0,0,0,0,0,0,0,8
Bronx,Bronx,87065,Active,386,38,1,2,12,1,0,73,513
Bronx,Bronx,87065,Inactive,77,8,0,1,5,0,0,21,112
Bronx,Bronx,87065,Total,463,46,1,3,17,1,0,94,625
Bronx,Bronx 87066,,Active,482,30,4,2,9,0,0,96,623
,,,,,,,,,,,,
Page 123 of 127,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,
,,,,,,,,,,,,
