"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
New York  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
New York,New York,75046,Inactive,34,10,0,0,2,0,0,13,59
New York,New York,75046,Total,345,55,1,1,27,1,0,125,555
New York,New York,75047,Active,469,50,4,0,24,3,0,154,704
New York,New York,75047,Inactive,84,8,0,0,5,0,0,32,129
New York,New York,75047,Total,553,58,4,0,29,3,0,186,833
New York,New York,75048,Active,245,29,0,2,25,0,0,90,391
New York,New York,75048,Inactive,48,6,0,0,1,0,0,12,67
New York,New York,75048,Total,293,35,0,2,26,0,0,102,458
New York,New York,75049,Active,399,121,2,2,38,2,2,170,736
New York,New York,75049,Inactive,72,22,0,0,2,1,0,33,130
New York,New York,75049,Total,471,143,2,2,40,3,2,203,866
New York,New York,75050,Active,488,136,2,2,36,1,4,242,911
New York,New York,75050,Inactive,58,32,0,0,9,0,0,41,140
New York,New York,75050,Total,546,168,2,2,45,1,4,283,"1,051"
New York,New York,75051,Active,300,128,0,1,29,2,2,140,602
New York,New York,75051,Inactive,73,29,0,0,9,0,0,45,156
New York,New York,75051,Total,373,157,0,1,38,2,2,185,758
New York,New York,75052,Active,491,134,3,2,31,3,2,218,884
New York,New York,75052,Inactive,109,39,2,1,15,1,0,50,217
New York,New York,75052,Total,600,173,5,3,46,4,2,268,"1,101"
,,,,,,,,,,,,
Page 142 of 163,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
New York  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
New York,New York,75053,Active,465,134,2,1,49,3,3,204,861
New York,New York,75053,Inactive,126,45,0,1,13,0,0,64,249
New York,New York,75053,Total,591,179,2,2,62,3,3,268,"1,110"
New York,New York,75054,Active,357,145,0,1,26,0,0,175,704
New York,New York,75054,Inactive,113,58,2,1,8,0,0,76,258
New York,New York,75054,Total,470,203,2,2,34,0,0,251,962
New York,New York,75055,Active,289,75,0,2,24,0,0,119,509
New York,New York,75055,Inactive,74,24,0,0,8,0,0,35,141
New York,New York,75055,Total,363,99,0,2,32,0,0,154,650
New York,New York,75056,Active,579,178,2,1,47,2,1,217,"1,027"
New York,New York,75056,Inactive,113,42,1,1,17,0,0,52,226
New York,New York,75056,Total,692,220,3,2,64,2,1,269,"1,253"
New York,New York,75057,Active,221,106,3,2,25,0,0,106,463
New York,New York,75057,Inactive,41,18,0,0,2,0,0,23,84
New York,New York,75057,Total,262,124,3,2,27,0,0,129,547
New York,New York,75058,Active,391,130,2,4,32,0,0,198,757
New York,New York,75058,Inactive,85,33,0,1,8,0,0,66,193
New York,New York,75058,Total,476,163,2,5,40,0,0,264,950
New York,New York,75059,Inactive,0,0,0,0,0,0,0,1,1
New York,New York,75059,Total,0,0,0,0,0,0,0,1,1
,,,,,,,,,,,,
Page 143 of 163,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
New York  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
New York,New York,75060,Active,25,5,0,0,3,0,0,12,45
New York,New York,75060,Inactive,8,4,0,0,0,0,0,3,15
New York,New York,75060,Total,33,9,0,0,3,0,0,15,60
New York,New York,75061,Active,34,5,1,0,0,0,0,19,59
New York,New York,75061,Inactive,4,3,0,0,1,0,0,4,12
New York,New York,75061,Total,38,8,1,0,1,0,0,23,71
New York,New York,75062,Active,692,108,4,0,57,3,0,248,"1,112"
New York,New York,75062,Inactive,158,49,2,1,11,0,1,61,283
New York,New York,75062,Total,850,157,6,1,68,3,1,309,"1,395"
New York,New York,75063,Active,507,75,2,2,28,1,0,172,787
New York,New York,75063,Inactive,110,24,0,0,9,0,0,44,187
New York,New York,75063,Total,617,99,2,2,37,1,0,216,974
New York,New York,75064,Active,751,151,3,1,50,3,0,251,"1,210"
New York,New York,75064,Inactive,89,18,0,0,12,2,1,50,172
